,data_id,file_urls,files,liked,title,watched,dominant_color,palette,genre,year,country,director
2,44070,['https://a.ltrbxd.com/resized/sm/upload/qg/0c/7c/2z/jXggcKzlyxj7yMBUIsqwiaaEtD5-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/qg/0c/7c/2z/jXggcKzlyxj7yMBUIsqwiaaEtD5-0-150-0-225-crop.jpg', 'path': 'full/f30490227922c7776603c4fb2adc6d464530fd34.jpg', 'checksum': '53f9e1b14d5fb5849ef547bbf8689aaf'}]",22000.0,Watchmen,97000.0,"(14, 28, 32)","[(223, 221, 66), (12, 21, 23), (94, 170, 187), (63, 109, 112), (53, 126, 157), (25, 72, 96)]","['action', 'mystery', 'science fiction']",2009,USA,Zack Snyder
3,40860,['https://a.ltrbxd.com/resized/film-poster/4/0/8/6/0/40860-district-9-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/4/0/8/6/0/40860-district-9-0-150-0-225-crop.jpg', 'path': 'full/7546de372e9cbf9be92509f9315b2e56a3125455.jpg', 'checksum': 'f8cb0718bfe371f2a358d3d904996c83'}]",24000.0,District 9,100000.0,"(212, 213, 214)","[(33, 34, 33), (212, 215, 217), (152, 173, 188), (126, 113, 110), (128, 145, 170), (188, 65, 67)]",['science fiction'],2009,USA,Neill Blomkamp
4,39352,['https://a.ltrbxd.com/resized/sm/upload/6w/gw/y5/nn/yOeP8RF2G4De4jNo5BdFkRgucsX-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/6w/gw/y5/nn/yOeP8RF2G4De4jNo5BdFkRgucsX-0-150-0-225-crop.jpg', 'path': 'full/ec6ed387596329b63c7ccea019f3fa1746fcd431.jpg', 'checksum': 'dd83d59728c6aec3e1a3322a81324ca8'}]",25000.0,Zombieland,116000.0,"(52, 56, 56)","[(214, 156, 124), (40, 41, 41), (146, 163, 166), (133, 107, 97), (127, 144, 151), (90, 110, 111)]","['comedy', 'horror']",2009,USA,Ruben Fleischer
7,39304,['https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/1p/mh/li/l2/b7nR3eKeTOwHPKmDLUWunIGasKo-0-150-0-225-crop.jpg', 'path': 'full/449d61c24bccfbee40e8dc42ed23fa010e8a2e8e.jpg', 'checksum': '6de8791b5d088144794604436eb7581c'}]",23000.0,Avatar,167000.0,"(7, 33, 64)","[(7, 64, 116), (187, 206, 138), (5, 7, 14), (5, 139, 201), (26, 173, 216), (10, 119, 175)]","['fantasy', 'action', 'adventure', 'science fiction']",2009,USA,James Cameron
8,44466,['https://a.ltrbxd.com/resized/sm/upload/2u/48/o1/04/kCl9WXR7LOqDTEU3XUX8ssUETQR-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/2u/48/o1/04/kCl9WXR7LOqDTEU3XUX8ssUETQR-0-150-0-225-crop.jpg', 'path': 'full/20fc884d8cf552ac5e968f865679877d1503a52e.jpg', 'checksum': '98c5c87288321e6dc7ee7b96e09aec87'}]",9200.0,A Serious Man,40000.0,"(119, 129, 134)","[(117, 128, 133), (50, 50, 39), (204, 205, 202), (174, 179, 188), (179, 188, 189), (52, 60, 68)]","['comedy', 'drama']",2009,USA,Ethan Coen
9,39350,['https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/3/9/3/5/0/39350--500-days-of-summer-0-150-0-225-crop.jpg', 'path': 'full/7f430e14fea49d08b982c879d446730d5cbfdff5.jpg', 'checksum': '8258162f54a19d2af5d1ccd8379a082d'}]",27000.0,(500) Days of Summer,117000.0,"(54, 108, 150)","[(227, 220, 219), (58, 138, 199), (123, 85, 61), (166, 125, 90), (41, 28, 25), (127, 159, 182)]","['romance', 'comedy', 'drama']",2009,USA,Marc Webb
11,42779,['https://a.ltrbxd.com/resized/sm/upload/x1/7y/oq/pi/ybOmHUVVXcwBQErjw7tmeE97fpO-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/x1/7y/oq/pi/ybOmHUVVXcwBQErjw7tmeE97fpO-0-150-0-225-crop.jpg', 'path': 'full/4eaab4945c90a6be391e6ec8a873b6da957ea7c5.jpg', 'checksum': '3a99e3bb09c7a118e3ecdda5209a7e8a'}]",17000.0,Coraline,73000.0,"(225, 222, 214)","[(18, 23, 46), (228, 228, 218), (90, 164, 204), (58, 81, 129), (46, 129, 177), (180, 78, 71)]","['animation', 'family']",2009,USA,Henry Selick
12,43302,['https://a.ltrbxd.com/resized/sm/upload/w4/28/dj/w1/gfFqBcoFW8uczyl2ytVmVmUg82k-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/w4/28/dj/w1/gfFqBcoFW8uczyl2ytVmVmUg82k-0-150-0-225-crop.jpg', 'path': 'full/2b60b7c35f7a54c1c7864cc7e4c80340164d1ddc.jpg', 'checksum': '67eeeb5d12a5f0f6e5bad545702876c0'}]",46000.0,Up,176000.0,"(221, 205, 198)","[(25, 123, 182), (220, 208, 200), (69, 45, 33), (144, 122, 152), (143, 203, 189), (221, 60, 111)]","['family', 'adventure', 'animation', 'comedy']",2009,USA,Pete Docter
14,46344,['https://a.ltrbxd.com/resized/sm/upload/86/js/yv/zh/750pfEttsYAVmynRg2vmt1AXh4q-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/sm/upload/86/js/yv/zh/750pfEttsYAVmynRg2vmt1AXh4q-0-150-0-225-crop.jpg', 'path': 'full/63c7d8dc0405b189c6071b11cb54af83fc288479.jpg', 'checksum': '3c090b42a309b1915b67fbb25d313331'}]",27000.0,Fantastic Mr. Fox,89000.0,"(41, 23, 18)","[(214, 167, 94), (36, 18, 15), (125, 184, 195), (138, 58, 39), (91, 86, 58), (124, 132, 140)]","['adventure', 'comedy', 'animation', 'family']",2009,USA,Wes Anderson
15,50544,['https://a.ltrbxd.com/resized/film-poster/5/0/5/4/4/50544-x-men-origins-wolverine-0-150-0-225-crop.jpg'],"[{'url': 'https://a.ltrbxd.com/resized/film-poster/5/0/5/4/4/50544-x-men-origins-wolverine-0-150-0-225-crop.jpg', 'path': 'full/219f2282baffdac1fd3000c012489dd1dde47eec.jpg', 'checksum': 'deeee97f835107e5a8f027908f19fad6'}]",4600.0,X-Men Origins: Wolverine,74000.0,"(200, 178, 158)","[(201, 180, 161), (14, 12, 12), (101, 81, 66), (134, 141, 139), (113, 122, 134), (152, 72, 32)]","['action', 'adventure', 'science fiction', 'thriller']",2009,USA,Gavin Hood
